"Date","Cell","Animal","Depth","t_incub","Place","Rp","Em1","Em2","Diff","Rm1","Rm2","Rs1","Rs2","Rt1","Rt2","Rs2.Rs1","PercgBa","Blockade_ratio","slope_ratio","ZT","Group","Count","Notes","cell_number","cell_order","Rectification"
"19022024","Cell1",3,50,26,"VH",6.9,-61,-58,3,2.33,6.25,22.99,25,25.32,31.25,1.09,0.153,1.163,1.0691834779773,"15","Control",11,"","1","1","TRUE"
"19022024","Cell2",3,55,78,"DH",5,-56,-41,15,14.93,49.44,23.53,26.32,38.46,75.76,1.12,0.553,3.042,2.7325476727026,"15","Control",6,"","2","2","TRUE"
"19022024","Cell3",3,60,43,"VH",6.9,-59,-56,3,2.05,5.29,19.23,19.96,21.28,25.25,1.04,0.137,0.958,0.684106435907796,"15","Control",NA,"","3","3","FALSE"
"19022024","Cell4",3,53,45,"VH",5,-61,-57,4,2.47,4.55,15.38,15.53,17.86,20.08,1.01,0.133,2.25,1.67466369735181,"15","Control",14,"","4","4","TRUE"
"20022023","Cell2",5,43,32,"VH",5.5,-70,-68,2,2.22,4.445,12.484,13.038,14.706,17.483,1.04,0.147,3.413,0.6270073780554,"8","Control",NA,"","2","1","FALSE"
"22022024","Cell1",4,50,37,"DH",5.2,-60,-60,0,0.79,5.85,15.87,16.13,16.67,21.98,1.02,0.238,1.607,2.48557309433116,"15","Control",24,"","1","1","TRUE"
"22022024","Cell3",4,45,35,"DH",5.7,-59,-55,4,1.4,8.6,19.61,22.17,21.01,30.77,1.13,0.316,1.569,1.26863631765166,"15","Control",10,"","3","3","TRUE"
"22022024","Cell5",4,46,34,"DH",5.4,-60,-58,2,1.13,4.92,16.67,19.23,17.79,24.15,1.15,0.199,0.704,0.351360849114964,"15","Control",15,"","5","5","FALSE"
"25032024","Cell2",7,53,40,"DH",6.1,-65,-58,7,2.8,10.73,15.38,16.67,18.18,27.4,1.08,0.354,1.468,1.247606841346,"15","Control",17,"","2","2","TRUE"
"26022024","Cell5",5,50,25,"DH",5.2,-61,-57,4,2.31,5.17,16.61,18.8,18.92,23.96,1.13,0.111,1.055,0.734289123891121,"15","Control",9,"","5","5","TRUE"
"26022024","Cell6",5,45,25,"VH",5.6,-55,-49,5,1.33,2.42,21.49,22.01,22.82,24.43,1.02,0.021,1.36,1.04063000612976,"15","Control",20,"","6","6","TRUE"
"26032024","Cell2",8,53,24,"VH",6.4,-57,-53,5,0.98,2.75,16.5,17.09,17.48,19.84,1.04,0.114,0.832,0.536493370514568,"15","Control",37,"","2","1","FALSE"
"26032024","Cell4",8,50,23,"VH",7.5,-54,-44,11,1.19,4.32,20.41,24.33,21.6,28.65,1.19,0.203,0.856,0.953971798841844,"15","Control",35,"","4","2","TRUE"
"27022024","Cell5",6,55,60,"DH",6.1,-53,-47,6,4.58,5.64,30.86,29.98,35.44,35.62,0.97,0.195,1.054,0.657001733923592,"15","Control",NA,"","5","5","FALSE"
"27032024","Cell1",7,55,41,"DH",4.3,-51,-38,13,2.99,7.106,17.007,18.868,20,25.974,1.11,0.246,2.803,4.07107593528275,"8","Control",56,"","1","1","TRUE"
"27032024","Cell2",7,45,22,"VH",3.8,-62,-59,2,0.67,2.381,9.434,9.524,10.101,11.905,1.01,0.136,1.079,0.869199124340305,"8","Control",38,"","2","2","TRUE"
"27032024","Cell3",7,50,43,"DH",5.8,-63,-54,9,4.36,9.366,17.241,18.182,21.598,27.548,1.05,0.355,2.339,2.99327926739292,"8","Control",34,"","3","3","TRUE"
"27032024","Cell4",7,40,25,"VH",6.6,-65,-62,3,1.1,2.919,15.625,16.129,16.722,19.048,1.03,0.109,1.011,0.848868055556721,"8","Control",NA,"","4","4","TRUE"
